cli,d1(%),d14(%),d2(%),d21(%),d3(%),d30(%),d4(%),d5(%),d6(%),d7(%),date_field,experiment,gid,installs,variant_group,version
0,60,0,45,0,32,0,30,27,24,24,09/04/2015,content,4,399,1,2
0,59,17,45,0,32,0,33,28,23,23,09/01/2015,content,4,767,3,2
0,66,18,50,18,40,0,34,34,30,27,08/25/2015,content,4,578,2,2
0,59,18,45,0,35,0,31,30,28,26,08/31/2015,content,4,1147,3,2
0,61,0,48,0,36,0,33,27,27,21,09/09/2015,content,4,418,3,2
0,64,18,47,14,42,0,38,32,27,24,08/27/2015,content,4,684,3,2
0,61,16,45,13,34,0,29,29,25,24,08/25/2015,content,4,561,1,2
0,62,19,47,0,37,0,32,29,25,24,08/29/2015,content,4,770,3,2
0,61,0,44,0,36,0,35,31,29,30,09/05/2015,content,4,693,3,2
0,64,19,49,0,43,0,38,32,29,25,09/02/2015,content,4,539,2,2
0,61,16,44,12,36,0,33,31,26,25,08/27/2015,content,4,506,1,2
0,60,0,39,0,0,0,0,0,0,0,09/15/2015,content,4,418,3,2
0,53,0,40,0,30,0,29,0,0,0,09/13/2015,content,4,592,1,2
0,54,14,39,0,34,0,27,26,24,21,08/28/2015,content,4,524,1,2
0,66,0,52,0,42,0,38,38,32,30,09/07/2015,content,4,420,3,2
0,65,0,47,0,39,0,38,29,32,32,09/05/2015,content,4,513,2,2
0,59,19,43,0,37,0,36,33,28,26,08/31/2015,content,4,867,2,2
0,58,0,46,0,38,0,31,30,29,28,09/06/2015,content,4,597,3,2
0,63,0,41,0,38,0,33,28,28,23,09/10/2015,content,4,417,3,2
0,63,17,47,0,40,0,33,30,28,26,09/03/2015,content,4,454,1,2
0,60,0,44,0,35,0,0,0,0,0,09/14/2015,content,4,403,3,2
0,64,0,47,0,37,0,33,28,32,31,09/08/2015,content,4,308,1,2
0,57,18,41,0,32,0,34,31,25,25,09/01/2015,content,4,628,1,2
0,55,0,44,0,30,0,27,22,18,0,09/11/2015,content,4,348,1,2
0,59,15,49,0,37,0,32,28,25,21,08/28/2015,content,4,489,2,2
0,58,15,46,0,38,0,31,26,22,23,08/28/2015,content,4,663,3,2
0,61,0,47,0,34,0,34,27,28,25,09/04/2015,content,4,531,3,2
0,64,0,50,0,39,0,32,31,29,24,09/08/2015,content,4,281,2,2
0,65,0,45,0,39,0,31,32,28,23,09/07/2015,content,4,292,1,2
0,60,19,41,0,31,0,29,27,27,25,08/30/2015,content,4,672,1,2
0,59,17,43,0,36,0,34,29,27,22,09/02/2015,content,4,615,3,2
0,59,15,44,13,34,0,32,29,29,22,08/26/2015,content,4,536,2,2
0,49,0,0,0,0,0,0,0,0,0,09/16/2015,content,4,749,3,2
0,59,18,45,15,37,0,31,29,29,26,08/25/2015,content,4,763,3,2
0,63,0,45,0,0,0,0,0,0,0,09/15/2015,content,4,362,1,2
0,60,0,44,0,35,0,0,0,0,0,09/14/2015,content,4,291,1,2
0,63,17,49,0,34,0,31,29,27,25,09/03/2015,content,4,595,3,2
0,62,0,48,0,38,0,0,0,0,0,09/14/2015,content,4,302,2,2
0,60,19,43,14,36,0,33,30,30,27,08/26/2015,content,4,707,3,2
0,60,18,46,0,37,0,34,29,25,24,09/01/2015,content,4,583,2,2
0,64,21,49,0,37,0,31,30,28,29,08/29/2015,content,4,557,2,2
0,60,18,45,14,36,0,33,33,26,26,08/26/2015,content,4,510,1,2
0,60,0,40,0,33,0,31,24,0,0,09/12/2015,content,4,666,3,2
0,64,17,43,0,35,0,29,25,24,23,08/29/2015,content,4,512,1,2
0,62,18,44,13,34,0,36,29,25,23,08/27/2015,content,4,516,2,2
0,58,0,48,0,39,0,37,36,33,30,09/06/2015,content,4,501,1,2
0,59,0,44,0,38,0,36,28,25,29,09/09/2015,content,4,347,2,2
0,65,0,45,0,38,0,34,35,32,26,09/07/2015,content,4,325,2,2
0,60,17,43,0,33,0,33,28,27,24,08/30/2015,content,4,937,3,2
0,55,0,42,0,34,0,26,0,0,0,09/13/2015,content,4,827,3,2
0,52,0,1,0,0,0,0,0,0,0,09/16/2015,content,4,530,2,2
0,64,0,48,0,38,0,36,33,29,28,09/08/2015,content,4,425,3,2
0,66,1,50,0,36,0,35,33,29,27,09/04/2015,content,4,372,2,2
0,63,19,47,15,41,0,34,31,30,28,08/24/2015,content,4,603,2,2
0,64,17,48,16,39,0,32,26,26,28,08/24/2015,content,4,742,3,2
0,60,0,45,0,39,0,36,30,31,22,09/10/2015,content,4,372,1,2
0,64,17,45,14,37,0,33,29,29,27,08/24/2015,content,4,622,1,2
0,60,0,47,0,42,0,36,37,31,28,09/09/2015,content,4,325,1,2
0,58,15,45,0,32,0,30,30,28,23,08/31/2015,content,4,833,1,2
0,60,0,47,0,40,0,38,38,31,33,09/06/2015,content,4,475,2,2
0,61,0,48,0,0,0,0,0,0,0,09/15/2015,content,4,347,2,2
0,58,17,46,0,38,0,33,30,24,25,09/02/2015,content,4,512,1,2
0,52,0,42,0,34,0,30,0,0,0,09/13/2015,content,4,601,2,2
0,63,0,45,0,39,0,36,30,31,31,09/05/2015,content,4,496,1,2
0,62,21,44,0,37,0,32,28,29,29,08/30/2015,content,4,726,2,2
0,63,0,44,0,40,0,37,30,29,25,09/10/2015,content,4,310,2,2
0,61,0,44,0,34,0,35,27,24,0,09/11/2015,content,4,318,2,2
0,61,21,50,0,39,0,37,31,30,28,09/03/2015,content,4,452,2,2
0,56,0,42,0,33,0,30,29,23,0,09/11/2015,content,4,452,3,2
0,50,0,0,0,0,0,0,0,0,0,09/16/2015,content,4,569,1,2
0,66,0,44,0,33,0,31,25,0,0,09/12/2015,content,4,529,2,2
0,58,0,40,0,32,0,29,23,0,0,09/12/2015,content,4,536,1,2
